"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Male Population:","Male Population: Under 18 Years","Male Population: 18 to 34 Years","Male Population: 35 to 64 Years","Male Population: 65 and Over","Female Population:","Female Population: Under 18 Years","Female Population: 18 to 34 Years","Female Population: 35 to 64 Years","Female Population: 65 and Over","Median Age:","Median Age: Male Population","Median Age: Female Population"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003
"09003502800","14000US09003502800","Census Tract 5028, Hartford County, Connecticut","Census Tract 5028, Hartford County, Connecticut","ct","140","00","ACSSF","0000856",,,,,"09","003",,,,"502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796,2796,15542.3,0.179896200291275,2796,246,244,193,145,469,514,380,341,106,108,42,8,1612,478,600,472,62,1184,350,383,355,96,26.4,25,29.7
"09003502900","14000US09003502900","Census Tract 5029, Hartford County, Connecticut","Census Tract 5029, Hartford County, Connecticut","ct","140","00","ACSSF","0000857",,,,,"09","003",,,,"502900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326,3326,11193.84,0.297127631479374,3326,189,235,264,156,617,686,443,291,195,190,47,13,1550,399,607,404,140,1776,445,696,525,110,27,27.4,26.6
"09003503000","14000US09003503000","Census Tract 5030, Hartford County, Connecticut","Census Tract 5030, Hartford County, Connecticut","ct","140","00","ACSSF","0000858",,,,,"09","003",,,,"503000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3299,3299,20228.44,0.163087242103052,3299,307,363,333,171,209,605,354,416,290,135,57,59,1404,452,400,515,37,1895,722,414,545,214,29.5,29.6,29.3
"09003503100","14000US09003503100","Census Tract 5031, Hartford County, Connecticut","Census Tract 5031, Hartford County, Connecticut","ct","140","00","ACSSF","0000859",,,,,"09","003",,,,"503100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886,3886,14338.03,0.271027510552172,3886,195,104,167,127,349,975,450,376,592,316,141,94,2165,283,822,784,276,1721,310,502,634,275,36.6,34,37.1
"09003503300","14000US09003503300","Census Tract 5033, Hartford County, Connecticut","Census Tract 5033, Hartford County, Connecticut","ct","140","00","ACSSF","0000860",,,,,"09","003",,,,"503300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675,2675,25203.51,0.106136012985388,2675,253,190,105,90,430,645,279,327,248,78,18,12,1248,371,475,344,58,1427,267,600,510,50,30.9,30.4,32.2
"09003503500","14000US09003503500","Census Tract 5035, Hartford County, Connecticut","Census Tract 5035, Hartford County, Connecticut","ct","140","00","ACSSF","0000861",,,,,"09","003",,,,"503500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608,1608,18639.1,0.0862702838777631,1608,166,145,171,123,209,205,257,115,145,21,23,28,638,217,185,209,27,970,388,229,308,45,24.4,23.5,24.6
"09003503700","14000US09003503700","Census Tract 5037, Hartford County, Connecticut","Census Tract 5037, Hartford County, Connecticut","ct","140","00","ACSSF","0000862",,,,,"09","003",,,,"503700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,2478,10571.07,0.234413441297798,2478,109,171,188,78,220,370,352,384,302,141,117,46,1334,354,295,546,139,1144,192,295,492,165,36.6,35.2,44.2
"09003503800","14000US09003503800","Census Tract 5038, Hartford County, Connecticut","Census Tract 5038, Hartford County, Connecticut","ct","140","00","ACSSF","0000863",,,,,"09","003",,,,"503800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401,3401,4753.498,0.715473199103625,3401,86,41,45,58,2783,137,24,119,49,37,17,5,1467,103,1265,71,28,1934,127,1655,121,31,20,20.1,19.9
"09003503900","14000US09003503900","Census Tract 5039, Hartford County, Connecticut","Census Tract 5039, Hartford County, Connecticut","ct","140","00","ACSSF","0000864",,,,,"09","003",,,,"503900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009,5009,7229.874,0.692819812292567,5009,277,355,440,231,576,546,494,706,663,400,262,59,2059,605,537,681,236,2950,698,585,1182,485,35.7,28.1,41.6
"09003504000","14000US09003504000","Census Tract 5040, Hartford County, Connecticut","Census Tract 5040, Hartford County, Connecticut","ct","140","00","ACSSF","0000865",,,,,"09","003",,,,"504000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657,3657,10199.38,0.358551082089956,3657,202,284,293,178,406,398,494,479,364,347,166,46,1554,417,376,540,221,2103,540,428,797,338,36.4,34.7,38.2
